sampling_rate,starttime,npts,network,station,location,channel,mseed,_format,dep,olon,olat,otime,slat,slon,selv,azimuth,back_azimuth,repi,rhyp,p_time,s_time,delta,endtime,wstart_requested,wend_requested,wstart,wend,id,resolution_floor,estimator,pass_snr,lower-f-bound,upper-f-bound,llpsp,llpsp-stderr,fc,fc-stderr,ts,ts-stderr,aic,bic,chisqr,redchi,pass_fitting
100.0,2019-08-26T07:30:49.580000Z,305,LV,L001,,HHE,"AttribDict({'dataquality': 'D', 'number_of_records': 6, 'encoding': 'STEIM1', 'byteorder': '>', 'record_length': 512, 'filesize': 3072})",MSEED,2.1,-2.967,53.784,2019-08-26T07:49:24.200000Z,53.82040142078019,-2.9292795997382197,23.0,31.510243123034265,211.54068284658914,4.7530364975828,5.205620515111927,2019-08-26T07:30:48.729390Z,2019-08-26T07:30:49.784790Z,0.01,2019-08-26T07:30:52.620000Z,2019-08-26T07:30:49.583710Z,2019-08-26T07:30:52.623710Z,2019-08-26T07:30:49.580000Z,2019-08-26T07:30:52.620000Z,LV.L001..HHE,0.32786885245901637,multitaper,True,0.6514565439976479,47.394212638783976,-4.614150741377672,,4.39451971851133,,0.023063898285272444,,-223.09069179617538,-214.20215790539567,28.812572023836548,0.20580408588454677,True
100.0,2019-08-26T07:30:51.280000Z,335,LV,L002,,HHE,"AttribDict({'dataquality': 'D', 'number_of_records': 6, 'encoding': 'STEIM1', 'byteorder': '>', 'record_length': 512, 'filesize': 3072})",MSEED,2.1,-2.967,53.784,2019-08-26T07:49:24.200000Z,53.8348038686189,-2.837621899060794,17.0,56.385015645756916,236.4894312015647,10.227978279888,10.444770399288856,2019-08-26T07:30:49.758130Z,2019-08-26T07:30:51.613070Z,0.01,2019-08-26T07:30:54.620000Z,2019-08-26T07:30:51.282082Z,2019-08-26T07:30:54.622082Z,2019-08-26T07:30:51.280000Z,2019-08-26T07:30:54.620000Z,LV.L002..HHE,0.29850746268656714,multitaper,True,0.9047816035221765,33.671572687956086,-5.154718174618548,,5.888484541386796,,0.041820750936429896,,-348.9926968347866,-340.9186531880992,4.197689058945454,0.0396008401787307,True
100.0,2019-08-26T07:30:52.290000Z,291,LV,L006,,HHE,"AttribDict({'dataquality': 'D', 'number_of_records': 6, 'encoding': 'STEIM1', 'byteorder': '>', 'record_length': 512, 'filesize': 3072})",MSEED,2.1,-2.967,53.784,2019-08-26T07:49:24.200000Z,53.691222529762875,-2.8803696714002265,7.0,150.99631270729512,331.0661642181628,11.802868573926647,11.989460186905216,2019-08-26T07:30:50.118250Z,2019-08-26T07:30:52.749640Z,0.01,2019-08-26T07:30:55.190000Z,2019-08-26T07:30:52.293362Z,2019-08-26T07:30:55.193362Z,2019-08-26T07:30:52.290000Z,2019-08-26T07:30:55.190000Z,LV.L006..HHE,0.3436426116838488,multitaper,True,0.6993006993006994,38.851394635233305,-4.601091803336674,,3.007300782877235,,0.06653703789895893,,-285.1488679334613,-277.0202773295243,8.05721067994553,0.07460380259208825,True
100.0,2019-08-26T07:30:53.420000Z,280,LV,L007,,HHE,"AttribDict({'dataquality': 'D', 'number_of_records': 6, 'encoding': 'STEIM1', 'byteorder': '>', 'record_length': 512, 'filesize': 3072})",MSEED,2.1,-2.967,53.784,2019-08-26T07:49:24.200000Z,53.74107330673488,-2.727394193116982,28.0,106.72652108197678,286.9197810003819,16.50811822629714,16.644709410903026,2019-08-26T07:30:51.091660Z,2019-08-26T07:30:53.963650Z,0.01,2019-08-26T07:30:56.210000Z,2019-08-26T07:30:53.419252Z,2019-08-26T07:30:56.209252Z,2019-08-26T07:30:53.420000Z,2019-08-26T07:30:56.210000Z,LV.L007..HHE,0.3571428571428571,multitaper,True,0.7251930841590306,26.301066520951487,-5.546449213086199,,6.3689718031198215,,0.061822595063127705,,-267.6869527347479,-260.89891310362395,1.5037080092233228,0.02211335307681357,True
100.0,2019-08-26T07:30:54.990000Z,240,LV,L008,,HHE,"AttribDict({'dataquality': 'D', 'number_of_records': 6, 'encoding': 'STEIM1', 'byteorder': '>', 'record_length': 512, 'filesize': 3072})",MSEED,2.1,-2.967,53.784,2019-08-26T07:49:24.200000Z,53.60229425885455,-3.0432888011210237,17.0,194.0229478814105,13.96146990064948,20.84212816515249,20.94936742368711,2019-08-26T07:30:51.848220Z,2019-08-26T07:30:55.724340Z,0.01,2019-08-26T07:30:57.380000Z,2019-08-26T07:30:54.989116Z,2019-08-26T07:30:57.379116Z,2019-08-26T07:30:54.990000Z,2019-08-26T07:30:57.380000Z,LV.L008..HHE,0.4166666666666667,multitaper,True,2.873372036131731,18.888747059335977,-5.793180937546462,,19.418044109296062,,0.06578307187851484,,-136.54714366568672,-131.55645872729778,1.0085429649622777,0.028015082360063268,True
100.0,2019-08-26T07:30:50.280000Z,355,LV,L009,,HHE,"AttribDict({'dataquality': 'D', 'number_of_records': 6, 'encoding': 'STEIM1', 'byteorder': '>', 'record_length': 512, 'filesize': 3072})",MSEED,2.1,-2.967,53.784,2019-08-26T07:49:24.200000Z,53.776126658725424,-3.036969393335407,10.0,259.27092043510686,79.21447229168045,4.694954466963598,5.1473000152372546,2019-08-26T07:30:48.709670Z,2019-08-26T07:30:50.609210Z,0.01,2019-08-26T07:30:53.820000Z,2019-08-26T07:30:50.279302Z,2019-08-26T07:30:53.819302Z,2019-08-26T07:30:50.280000Z,2019-08-26T07:30:53.820000Z,LV.L009..HHE,0.2816901408450704,multitaper,True,0.6756756756756757,45.73816029563091,-5.045543086201036,,4.3228215674668045,,0.03267724205130329,,-465.662649759432,-456.4371283137305,8.392028391387278,0.0534524101362247,True
100.0,2019-08-26T07:30:55.410000Z,214,UR,AQ01,00,HHE,"AttribDict({'dataquality': 'D', 'number_of_records': 4, 'encoding': 'STEIM1', 'byteorder': '>', 'record_length': 512, 'filesize': 2048})",MSEED,2.1,-2.967,53.784,2019-08-26T07:49:24.200000Z,53.606574367755925,-2.793122391617827,24.0,149.7471821112543,329.8873067319742,22.84443976210678,22.94296850986213,2019-08-26T07:30:52.229430Z,2019-08-26T07:30:55.987870Z,0.01,2019-08-26T07:30:57.540000Z,2019-08-26T07:30:55.406182Z,2019-08-26T07:30:57.536182Z,2019-08-26T07:30:55.410000Z,2019-08-26T07:30:57.540000Z,UR.AQ01.00.HHE,0.4672897196261682,multitaper,True,0.94187613565413,30.85084146113449,-5.573028010252533,,9.862871020389768,,0.07970413389915953,,-176.94824669390994,-170.47159744383092,3.6704590234957983,0.06017145940157047,True
200.0,2019-08-26T07:30:50.270000Z,676,UR,AQ03,00,HHE,"AttribDict({'dataquality': 'D', 'number_of_records': 10, 'encoding': 'STEIM1', 'byteorder': '>', 'record_length': 512, 'filesize': 5120})",MSEED,2.1,-2.967,53.784,2019-08-26T07:49:24.200000Z,53.75959367161754,-2.8866277812041634,23.0,117.10764264712834,297.17247646953325,5.954925973541665,6.3220465318092325,2019-08-26T07:30:49.039290Z,2019-08-26T07:30:50.246440Z,0.005,2019-08-26T07:30:53.645000Z,2019-08-26T07:30:50.270010Z,2019-08-26T07:30:53.645010Z,2019-08-26T07:30:50.270000Z,2019-08-26T07:30:53.645000Z,UR.AQ03.00.HHE,0.2958579881656805,multitaper,True,0.6211180124223602,77.6986744345617,-4.749033651964976,,2.834860267618452,,0.0190495799286452,,-513.8787804858431,-503.19673559279653,35.20358274370312,0.13697892118172422,True
200.0,2019-08-26T07:30:48.680000Z,635,UR,AQ04,00,HHE,"AttribDict({'dataquality': 'D', 'number_of_records': 9, 'encoding': 'STEIM1', 'byteorder': '>', 'record_length': 512, 'filesize': 4608})",MSEED,2.1,-2.967,53.784,2019-08-26T07:49:24.200000Z,53.77599670909336,-2.9678370021713434,15.0,183.54480936265966,3.54413410773477,0.8924806836847975,2.2955929017904033,2019-08-26T07:30:48.111050Z,2019-08-26T07:30:48.675880Z,0.005,2019-08-26T07:30:51.850000Z,2019-08-26T07:30:48.677914Z,2019-08-26T07:30:51.847914Z,2019-08-26T07:30:48.680000Z,2019-08-26T07:30:51.850000Z,UR.AQ04.00.HHE,0.31496062992125984,multitaper,True,0.9407138328094745,87.288590981566,-5.009010559865452,,6.356409308975493,,0.012962173898442897,,-412.1781413151112,-401.3278280221115,60.10681990537121,0.220980955534453,True
200.0,2019-08-26T07:30:49.280000Z,671,UR,AQ05,00,HHE,"AttribDict({'dataquality': 'D', 'number_of_records': 11, 'encoding': 'STEIM1', 'byteorder': '>', 'record_length': 512, 'filesize': 5632})",MSEED,2.1,-2.967,53.784,2019-08-26T07:49:24.200000Z,53.81380115015182,-2.9666353952069833,11.0,0.41483865483076593,180.4151328723062,3.3169923130211862,3.931762836774573,2019-08-26T07:30:48.479510Z,2019-08-26T07:30:49.310430Z,0.005,2019-08-26T07:30:52.630000Z,2019-08-26T07:30:49.279246Z,2019-08-26T07:30:52.629246Z,2019-08-26T07:30:49.280000Z,2019-08-26T07:30:52.630000Z,UR.AQ05.00.HHE,0.29806259314456035,multitaper,True,0.5988023952095809,77.612857664939,-4.759449041028504,,59.638328071967955,,0.046850274691730975,,-397.5951147636686,-386.9362360089038,53.98128620137044,0.21169131843674682,True
