sampling_rate,starttime,npts,network,station,location,channel,mseed,_format,dep,olon,olat,otime,slat,slon,selv,azimuth,back_azimuth,repi,rhyp,p_time,s_time,delta,endtime,wstart_requested,wend_requested,wstart,wend,id,resolution_floor,estimator,pass_snr,lower-f-bound,upper-f-bound,llpsp,llpsp-stderr,fc,fc-stderr,ts,ts-stderr,aic,bic,chisqr,redchi,pass_fitting
200.0,2019-08-26T07:30:50.205000Z,677,UR,AQ06,00,HHE,"AttribDict({'dataquality': 'D', 'number_of_records': 8, 'encoding': 'STEIM1', 'byteorder': '>', 'record_length': 512, 'filesize': 4096})",MSEED,2.04,-2.97078,53.785021,2019-08-26T07:30:47.000000Z,53.82460164857022,-2.909628048424276,28.0,42.418967835745704,222.46831807093352,5.969822173532133,6.317863624960254,2019-08-26T07:30:48.921950Z,2019-08-26T07:30:50.092790Z,0.005,2019-08-26T07:30:53.585000Z,2019-08-26T07:30:50.203622Z,2019-08-26T07:30:53.583622Z,2019-08-26T07:30:50.205000Z,2019-08-26T07:30:53.585000Z,UR.AQ06.00.HHE,0.2954209748892171,multitaper,True,0.89317282283277,46.8380554298236,-4.831762412431526,,6.270758911523259,,0.04601979323493999,,-466.46539665736424,-457.3351213066065,7.354124170674787,0.04838239585970255,True
100.0,2019-08-26T07:30:54.540000Z,253,UR,AQ07,00,HHE,"AttribDict({'dataquality': 'D', 'number_of_records': 4, 'encoding': 'STEIM1', 'byteorder': '>', 'record_length': 512, 'filesize': 2048})",MSEED,2.04,-2.97078,53.785021,2019-08-26T07:30:47.000000Z,53.841600279093726,-2.664097548329021,90.0,72.5620408138255,252.80956368953764,21.159601916465352,21.26653834697326,2019-08-26T07:30:51.609210Z,2019-08-26T07:30:55.188500Z,0.01,2019-08-26T07:30:57.060000Z,2019-08-26T07:30:54.542642Z,2019-08-26T07:30:57.062642Z,2019-08-26T07:30:54.540000Z,2019-08-26T07:30:57.060000Z,UR.AQ07.00.HHE,0.39525691699604737,multitaper,True,0.8849557522123893,43.07635105088069,-5.588681735185045,,3.1866603384611576,,0.03676064649622557,,-306.6807246427517,-298.6904073604155,5.549017788797473,0.05387395911453857,True
100.0,2019-08-26T07:30:52.080000Z,298,UR,AQ09,00,HHE,"AttribDict({'dataquality': 'D', 'number_of_records': 4, 'encoding': 'STEIM1', 'byteorder': '>', 'record_length': 512, 'filesize': 2048})",MSEED,2.04,-2.97078,53.785021,2019-08-26T07:30:47.000000Z,53.88450862782858,-2.9033249462003763,7.0,21.826134015292613,201.88059175222796,11.930493033270707,12.104828500103622,2019-08-26T07:30:50.106250Z,2019-08-26T07:30:52.076530Z,0.01,2019-08-26T07:30:55.050000Z,2019-08-26T07:30:52.082474Z,2019-08-26T07:30:55.052474Z,2019-08-26T07:30:52.080000Z,2019-08-26T07:30:55.050000Z,UR.AQ09.00.HHE,0.33557046979865773,multitaper,True,0.664945206005862,47.55959434090303,-5.462117518431268,,6.56783884499266,,0.034638308840940324,,-463.80764210423143,-454.98271483640355,4.883555547837213,0.035646390860125644,True
100.0,2019-08-26T07:30:53.790000Z,249,UR,AQ10,00,HHE,"AttribDict({'dataquality': 'D', 'number_of_records': 4, 'encoding': 'STEIM1', 'byteorder': '>', 'record_length': 512, 'filesize': 2048})",MSEED,2.04,-2.97078,53.785021,2019-08-26T07:30:47.000000Z,53.91461111593276,-2.8256143062001318,22.0,33.46010079840781,213.57731834789726,17.300658600514016,17.423106267584423,2019-08-26T07:30:51.019630Z,2019-08-26T07:30:53.981570Z,0.01,2019-08-26T07:30:56.270000Z,2019-08-26T07:30:53.789182Z,2019-08-26T07:30:56.269182Z,2019-08-26T07:30:53.790000Z,2019-08-26T07:30:56.270000Z,UR.AQ10.00.HHE,0.4016064257028112,multitaper,True,0.8014155430688078,40.4117258750204,-5.435576407330909,,4.840738439513938,,0.05476157904392709,,-308.5253108015765,-300.7399512511727,4.129252957722802,0.04301305164294585,True
100.0,2019-08-26T07:30:49.620000Z,181,LV,L001,,HHN,"AttribDict({'dataquality': 'D', 'number_of_records': 6, 'encoding': 'STEIM1', 'byteorder': '>', 'record_length': 512, 'filesize': 3072})",MSEED,2.04,-2.97078,53.785021,2019-08-26T07:30:47.000000Z,53.82040142078019,-2.9292795997382197,23.0,34.757437408634836,214.7909277464741,4.794079929979485,5.219115957231848,2019-08-26T07:30:48.729390Z,2019-08-26T07:30:49.784790Z,0.01,2019-08-26T07:30:51.420000Z,2019-08-26T07:30:49.623710Z,2019-08-26T07:30:51.423710Z,2019-08-26T07:30:49.620000Z,2019-08-26T07:30:51.420000Z,LV.L001..HHN,0.5524861878453039,multitaper,True,1.1181139989636801,47.53587686428251,-4.530743724307194,,2.983430578162747,,0.010977048239547704,,-86.6686108025102,-79.37616040598026,27.8719010691886,0.3440975440640568,True
100.0,2019-08-26T07:30:51.530000Z,316,LV,L002,,HHN,"AttribDict({'dataquality': 'D', 'number_of_records': 6, 'encoding': 'STEIM1', 'byteorder': '>', 'record_length': 512, 'filesize': 3072})",MSEED,2.04,-2.97078,53.785021,2019-08-26T07:30:47.000000Z,53.8348038686189,-2.837621899060794,17.0,57.66643697562753,237.77390390954272,10.375158192320777,10.577105299451308,2019-08-26T07:30:49.758130Z,2019-08-26T07:30:51.613070Z,0.01,2019-08-26T07:30:54.680000Z,2019-08-26T07:30:51.532082Z,2019-08-26T07:30:54.682082Z,2019-08-26T07:30:51.530000Z,2019-08-26T07:30:54.680000Z,LV.L002..HHN,0.3164556962025316,multitaper,True,0.6578947368421053,37.53007532565119,-5.212477131418522,,6.10500258715984,,0.04312513339666402,,-387.9132008816505,-379.6524303083314,3.887579530218329,0.03440335867449849,True
100.0,2019-08-26T07:30:52.500000Z,271,LV,L006,,HHN,"AttribDict({'dataquality': 'D', 'number_of_records': 6, 'encoding': 'STEIM1', 'byteorder': '>', 'record_length': 512, 'filesize': 3072})",MSEED,2.04,-2.97078,53.785021,2019-08-26T07:30:47.000000Z,53.691222529762875,-2.8803696714002265,7.0,150.21747677619854,330.2903766429392,12.024168531302621,12.197165157083356,2019-08-26T07:30:50.118250Z,2019-08-26T07:30:52.749640Z,0.01,2019-08-26T07:30:55.200000Z,2019-08-26T07:30:52.503362Z,2019-08-26T07:30:55.203362Z,2019-08-26T07:30:52.500000Z,2019-08-26T07:30:55.200000Z,LV.L006..HHN,0.36900369003690037,multitaper,True,0.7453813965053203,10.538014316805395,-5.000123417522975,,8.608878751304909,,0.07797079600799361,,-71.37442512998676,-67.60013551592232,1.325987029371971,0.0576516099726944,True
100.0,2019-08-26T07:30:53.910000Z,228,LV,L007,,HHN,"AttribDict({'dataquality': 'D', 'number_of_records': 6, 'encoding': 'STEIM1', 'byteorder': '>', 'record_length': 512, 'filesize': 3072})",MSEED,2.04,-2.97078,53.785021,2019-08-26T07:30:47.000000Z,53.74107330673488,-2.727394193116982,28.0,106.85025555262945,287.04656560813777,16.779476783691862,16.906432655485137,2019-08-26T07:30:51.091660Z,2019-08-26T07:30:53.963650Z,0.01,2019-08-26T07:30:56.180000Z,2019-08-26T07:30:53.909252Z,2019-08-26T07:30:56.179252Z,2019-08-26T07:30:53.910000Z,2019-08-26T07:30:56.180000Z,LV.L007..HHN,0.43859649122807015,multitaper,True,0.8647452431401212,20.330969206916524,-5.2141057518726734,,4.686726993330984,,0.06445237448663921,,-157.96621440045635,-152.54622693114538,1.1770000095910262,0.02802380975216729,True
100.0,2019-08-26T07:30:55.230000Z,218,LV,L008,,HHN,"AttribDict({'dataquality': 'D', 'number_of_records': 6, 'encoding': 'STEIM1', 'byteorder': '>', 'record_length': 512, 'filesize': 3072})",MSEED,2.04,-2.97078,53.785021,2019-08-26T07:30:47.000000Z,53.60229425885455,-3.0432888011210237,17.0,193.2814921719469,13.223059953346509,20.893749354365784,20.99476151526996,2019-08-26T07:30:51.848220Z,2019-08-26T07:30:55.724340Z,0.01,2019-08-26T07:30:57.400000Z,2019-08-26T07:30:55.229116Z,2019-08-26T07:30:57.399116Z,2019-08-26T07:30:55.230000Z,2019-08-26T07:30:57.400000Z,LV.L008..HHN,0.4587155963302752,multitaper,True,3.239449498380968,21.156402119067277,-5.477366348943211,,23.157473780245912,,0.08367575791005222,,-131.05303339291277,-126.06234845452383,1.161115641365663,0.0322532122601573,True
100.0,2019-08-26T07:30:50.310000Z,332,LV,L009,,HHN,"AttribDict({'dataquality': 'D', 'number_of_records': 6, 'encoding': 'STEIM1', 'byteorder': '>', 'record_length': 512, 'filesize': 3072})",MSEED,2.04,-2.97078,53.785021,2019-08-26T07:30:47.000000Z,53.776126658725424,-3.036969393335407,10.0,257.24355559876744,77.1901566402,4.474107150445977,4.921395614424004,2019-08-26T07:30:48.709670Z,2019-08-26T07:30:50.609210Z,0.01,2019-08-26T07:30:53.620000Z,2019-08-26T07:30:50.309302Z,2019-08-26T07:30:53.619302Z,2019-08-26T07:30:50.310000Z,2019-08-26T07:30:53.620000Z,LV.L009..HHN,0.3012048192771084,multitaper,True,0.6756756756756757,44.37797511381281,-5.013023955226266,,3.707059398064919,,0.026532837100745832,,-489.62131215651317,-480.69111092925147,4.752428390666127,0.033467805568071315,True
100.0,2019-08-26T07:30:55.390000Z,209,UR,AQ01,00,HHN,"AttribDict({'dataquality': 'D', 'number_of_records': 4, 'encoding': 'STEIM1', 'byteorder': '>', 'record_length': 512, 'filesize': 2048})",MSEED,2.04,-2.97078,53.785021,2019-08-26T07:30:47.000000Z,53.606574367755925,-2.793122391617827,24.0,149.3517955578479,329.4949673487603,23.068675087418224,23.16082611412793,2019-08-26T07:30:52.229430Z,2019-08-26T07:30:55.987870Z,0.01,2019-08-26T07:30:57.470000Z,2019-08-26T07:30:55.386182Z,2019-08-26T07:30:57.466182Z,2019-08-26T07:30:55.390000Z,2019-08-26T07:30:57.470000Z,UR.AQ01.00.HHN,0.47846889952153115,multitaper,True,0.9603039489851778,21.90506249615995,-5.435699086701906,,19.01666736136564,,0.10276853842422207,,-136.54240284409585,-131.25880249701515,1.5624584568642417,0.03906146142160604,True
200.0,2019-08-26T07:30:50.265000Z,667,UR,AQ03,00,HHN,"AttribDict({'dataquality': 'D', 'number_of_records': 10, 'encoding': 'STEIM1', 'byteorder': '>', 'record_length': 512, 'filesize': 5120})",MSEED,2.04,-2.97078,53.785021,2019-08-26T07:30:47.000000Z,53.75959367161754,-2.8866277812041634,23.0,116.99081879250696,297.0587022694835,6.228505095469649,6.561268530116061,2019-08-26T07:30:49.039290Z,2019-08-26T07:30:50.246440Z,0.005,2019-08-26T07:30:53.595000Z,2019-08-26T07:30:50.265010Z,2019-08-26T07:30:53.595010Z,2019-08-26T07:30:50.265000Z,2019-08-26T07:30:53.595000Z,UR.AQ03.00.HHN,0.29985007496251875,multitaper,True,0.9040002823361107,66.49320994206263,-4.566347159040227,,2.9657272786411113,,0.024704476732351877,,-446.13050755636294,-435.9770223679957,27.39887375893713,0.12743662213459128,True
200.0,2019-08-26T07:30:48.675000Z,621,UR,AQ04,00,HHN,"AttribDict({'dataquality': 'D', 'number_of_records': 9, 'encoding': 'STEIM1', 'byteorder': '>', 'record_length': 512, 'filesize': 4608})",MSEED,2.04,-2.97078,53.785021,2019-08-26T07:30:47.000000Z,53.77599670909336,-2.9678370021713434,15.0,169.0666983289113,349.0690726199328,1.0229761609894517,2.2955402906402487,2019-08-26T07:30:48.111050Z,2019-08-26T07:30:48.675880Z,0.005,2019-08-26T07:30:51.775000Z,2019-08-26T07:30:48.672914Z,2019-08-26T07:30:51.772914Z,2019-08-26T07:30:48.675000Z,2019-08-26T07:30:51.775000Z,UR.AQ04.00.HHN,0.322061191626409,multitaper,True,0.6534409353452816,84.05416505930008,-4.64630157880386,,5.437272834317882,,0.020806470995573756,,-552.0457602105353,-541.3868814557704,29.665700766164083,0.11633608143593759,True
200.0,2019-08-26T07:30:49.280000Z,479,UR,AQ05,00,HHN,"AttribDict({'dataquality': 'D', 'number_of_records': 10, 'encoding': 'STEIM1', 'byteorder': '>', 'record_length': 512, 'filesize': 5120})",MSEED,2.04,-2.97078,53.785021,2019-08-26T07:30:47.000000Z,53.81380115015182,-2.9666353952069833,11.0,4.8712257508918935,184.87457025741492,3.2148869289292774,3.813410411403462,2019-08-26T07:30:48.479510Z,2019-08-26T07:30:49.310430Z,0.005,2019-08-26T07:30:51.670000Z,2019-08-26T07:30:49.279246Z,2019-08-26T07:30:51.669246Z,2019-08-26T07:30:49.280000Z,2019-08-26T07:30:51.670000Z,UR.AQ05.00.HHN,0.4175365344467641,multitaper,True,0.8204086361167056,78.70973933893117,-4.889862387455555,,52.969360619633036,,0.04295692871533019,,-289.16821501389944,-279.47488916333566,38.577490718664244,0.20966027564491438,True
200.0,2019-08-26T07:30:50.095000Z,737,UR,AQ06,00,HHN,"AttribDict({'dataquality': 'D', 'number_of_records': 8, 'encoding': 'STEIM1', 'byteorder': '>', 'record_length': 512, 'filesize': 4096})",MSEED,2.04,-2.97078,53.785021,2019-08-26T07:30:47.000000Z,53.82460164857022,-2.909628048424276,28.0,42.418967835745704,222.46831807093352,5.969822173532133,6.317863624960254,2019-08-26T07:30:48.921950Z,2019-08-26T07:30:50.092790Z,0.005,2019-08-26T07:30:53.775000Z,2019-08-26T07:30:50.093622Z,2019-08-26T07:30:53.773622Z,2019-08-26T07:30:50.095000Z,2019-08-26T07:30:53.775000Z,UR.AQ06.00.HHN,0.27137042062415195,multitaper,True,0.8016188872608186,46.32869958783309,-4.958780319237826,,8.442517780257003,,0.04748447472797235,,-520.8533734695105,-511.48148153130074,7.300420830202399,0.04424497472849939,True
100.0,2019-08-26T07:30:54.750000Z,236,UR,AQ07,00,HHN,"AttribDict({'dataquality': 'D', 'number_of_records': 4, 'encoding': 'STEIM1', 'byteorder': '>', 'record_length': 512, 'filesize': 2048})",MSEED,2.04,-2.97078,53.785021,2019-08-26T07:30:47.000000Z,53.841600279093726,-2.664097548329021,90.0,72.5620408138255,252.80956368953764,21.159601916465352,21.26653834697326,2019-08-26T07:30:51.609210Z,2019-08-26T07:30:55.188500Z,0.01,2019-08-26T07:30:57.100000Z,2019-08-26T07:30:54.752642Z,2019-08-26T07:30:57.102642Z,2019-08-26T07:30:54.750000Z,2019-08-26T07:30:57.100000Z,UR.AQ07.00.HHN,0.42372881355932207,multitaper,True,0.8849557522123893,40.66197328450292,-5.480781643360371,,2.992693480808561,,0.040351474030532186,,-236.07927531051575,-228.481476831056,6.886731111029559,0.0765192345669951,True
100.0,2019-08-26T07:30:52.110000Z,297,UR,AQ09,00,HHN,"AttribDict({'dataquality': 'D', 'number_of_records': 4, 'encoding': 'STEIM1', 'byteorder': '>', 'record_length': 512, 'filesize': 2048})",MSEED,2.04,-2.97078,53.785021,2019-08-26T07:30:47.000000Z,53.88450862782858,-2.9033249462003763,7.0,21.826134015292613,201.88059175222796,11.930493033270707,12.104828500103622,2019-08-26T07:30:50.106250Z,2019-08-26T07:30:52.076530Z,0.01,2019-08-26T07:30:55.070000Z,2019-08-26T07:30:52.112474Z,2019-08-26T07:30:55.072474Z,2019-08-26T07:30:52.110000Z,2019-08-26T07:30:55.070000Z,UR.AQ09.00.HHN,0.33670033670033667,multitaper,True,0.6665703398762428,47.40265302905726,-5.054794015168363,,4.048739394054976,,0.03414294520505967,,-425.5109324310627,-416.70751063167063,6.234377507807306,0.04584101108681843,True
100.0,2019-08-26T07:30:54.000000Z,218,UR,AQ10,00,HHN,"AttribDict({'dataquality': 'D', 'number_of_records': 4, 'encoding': 'STEIM1', 'byteorder': '>', 'record_length': 512, 'filesize': 2048})",MSEED,2.04,-2.97078,53.785021,2019-08-26T07:30:47.000000Z,53.91461111593276,-2.8256143062001318,22.0,33.46010079840781,213.57731834789726,17.300658600514016,17.423106267584423,2019-08-26T07:30:51.019630Z,2019-08-26T07:30:53.981570Z,0.01,2019-08-26T07:30:56.170000Z,2019-08-26T07:30:53.999182Z,2019-08-26T07:30:56.169182Z,2019-08-26T07:30:54.000000Z,2019-08-26T07:30:56.170000Z,UR.AQ10.00.HHN,0.4587155963302752,multitaper,True,0.9271659654213654,29.84372913033072,-5.330392182056405,,21.255945882766635,,0.0928824135788604,,-227.17855404882482,-220.74914986965024,1.5556412448356634,0.02592735408059439,True
